customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,1.0,1.0,ACTIVE,Regularly,44.0,930b19ae7db8abb5a27f4da10217755a7305b4c452f5e0b7644c8e97cbeef4f6
0152d53f51444891ea07013fd1fb8325415bb09bb6798a59359b21a8326d801b,,,ACTIVE,NONE,30.0,7d81fea7e0b9c27deb7bd9c46304e24d176a6aa2ced422379f41600faf16c4db
01a4717d38b651e46dda7f1ab8d1494af2682a847fa9a52a8f9ab1a09acd0294,1.0,1.0,ACTIVE,Regularly,23.0,84341fc1a4fff70f3effe1dc4de74167024562e00065b419969618c5468bdc34
01c19c0ba392de6d2bee657a616eca254d8fa6d06dde299b73d4276381b54554,,,ACTIVE,NONE,26.0,716a141c5fe7405d6ceab1ea281917fffca3c7a0e89314c7eb84745537c23179
01dd96059a11759518f10969d0a528f03c8501dc4c628bf69409db1890a59216,1.0,1.0,ACTIVE,Regularly,26.0,d9953eb7a7a24998cec6deecc7ac24091ccc15e395ba12110869742374bdeb3a
03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,1.0,1.0,ACTIVE,Regularly,51.0,8db52856d17c197683efbc9d5ef2dc873aaf7062486b2d61d12553a7f0a5763b
03fdb0bf2d9ff8ba23e1b4aef53709119aad5bc83691d89293a01a52b93d7370,1.0,1.0,ACTIVE,Regularly,49.0,f2255b8174265ec97c29c5e7f23ee8e1d31b3bbe5ae34d43f5e10c811ca84af6
048962db9aca38ca4b98c70880a44b60f12562c8d4df5e34457401c14ec0dcbe,,,ACTIVE,NONE,33.0,64442315cd4919573bd8bbf9f5ec0c4ea5538f0cf7393cfe74cac2741bd83ef3
04c0e5bc7cbe20bd95058f7eb32016ff408b327415d11e5f5e5c5cfc2b4e4100,,,ACTIVE,NONE,46.0,47bfe49b4c54d070fe9ae3829b67c5fbf8bf680145e2a7950d971c1c2f3a6edf
04c8e4b3f05c0a9177e5addbc6be0c2c34f6b5a4e8cd290caa7f71118af12b3f,,,ACTIVE,NONE,23.0,78098b65d5f4b0b01eb9d8975f8130c6d691d9da44333526783eaedb1f440b87
0552b5b3f428f2e1176aaf7e29fda5a3c702f953630ddaa2fd13b82c5338d4a2,1.0,,ACTIVE,Regularly,64.0,684bcf5a4ef20c44564ffbec4b5a6ea40f27b5e6d99c317c12990c2547a18495
0567aa327bf71d7e53838b36a0a1779efb88db4e6658d67094e7d59d7fe93c8e,1.0,1.0,ACTIVE,Regularly,46.0,1e6c5be39ae4c805f2d9e3fc5d89fd528d0b2506e828f6045d2ad7bfdf600a79
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,,,ACTIVE,NONE,67.0,c91f79750fce78838a0e3daa243c7a3df3ad0034ea7c4e3d9fa2f543d9ae7d5a
0a45168a9fdde35557e23ab2663ffbd0d565ac380ece7a3b09e7680c2a0f94be,1.0,1.0,ACTIVE,Regularly,33.0,80821f599b7b052032c39620a3de981e8ed2283762694bee7786b0b76524c2b4
0bf4c6fd4e9d33f9bfb807bb78348cbf5c565846ff4006acf5c1b9aea77b0e54,1.0,1.0,ACTIVE,Regularly,51.0,80b6dd024c771fa4665cb10796f4393c83d37f863e655469d34eab8914d1a1c8
0bf722e1b6bbfb9598eed1b2d9ee1dde7c327328075d73eac19f41778c1052e4,,,ACTIVE,NONE,32.0,f7fe86ea77e2bd9c69c6c36a50a4bc52ea67cd29294e7f0b40bf70997290b17b
0d4fb6fb46dfe2759bcf7bc80340e8915b207aa2f74b5b3c76f74d3ce28359e8,1.0,1.0,ACTIVE,Regularly,40.0,e79ad63d14d9cb5b2f10c654229ece674a360c81672fbfadabb987e156e724b4
124cca5c0e033213924187882bc2b7ece884883402d21ac9d893d850f050d761,,,ACTIVE,NONE,32.0,c3d45ca1a3268fba1aaa7879366a9ffc3320de0d0bf71f1124f14aeac57530dc
13195d22b61b4c7de21818aae143713deb7be4b69ef4df955b10451699ac590f,1.0,1.0,ACTIVE,Regularly,29.0,58601968128c8d2a91a4937f9dd928785ced98076b89da0e92a1e08a3f0561a7
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,1.0,1.0,ACTIVE,Regularly,54.0,da2dffc9d9cb6a1449dae3835ecb74cdf826ba152df3a0798553a42b37d1d8b8
13364ff15c984262a033e11104fd0e713e3dbbb2966457ee6ab343a8b1c8674c,,,ACTIVE,NONE,30.0,f53a6bd12e7e463769068560fbb3d550924c6d5f7b88211860ec01adb3d0acfc
13aa106eeb8a6fa2f9e2ab888a3a2ee118a3900670f0d8968c72aaee32841fb5,1.0,1.0,ACTIVE,Regularly,39.0,1dbf411d3ce63daa9a17e0e1c363544140dc7f01511c905925fd18d35bf233f2
14e2803083654f39e71c600c31eca57fa37be2e22f3fb499b622304723937c50,1.0,1.0,ACTIVE,Regularly,37.0,0fa4090bbe85e3468856d669b50af5cc446cdca7c0d9c676906637380ad1601e
157eee38676eebb003bf97407f26e369de192997ab3902c194ce2690f060ff50,,,ACTIVE,NONE,31.0,e399edbf41184d6ef7e883c0fce887ff8b613ae2fb550a0357af38301fb0ed82
15a075c3ea7b76dc31971a496c0d4b1f5f30170355eff7cedd4f4234c8c9402c,1.0,1.0,ACTIVE,Regularly,30.0,0ba906414ed57749e6710361c60e5cb2d995dcaf0b670e932fbd8e54158fc8c7
15a3197b46ff468b8f7333afd973274628e00ac53c735ed53250b811f0cc5057,1.0,1.0,ACTIVE,Regularly,29.0,9326ce47cf3d34bcb5f1bfd082d0be78c361a4ea3e100fc3031cd663c6a882c6
191071b0e1f2e94a557f1a0b4cea3de55faf1581b1f46466ffe90664f73ec96e,1.0,1.0,ACTIVE,Regularly,55.0,547f17b60bc1685cc0ff69e7260e6bea1ec281fa51d1634e65f541a95697e2ed
1a8ff5bca9a06d93488b597eaba364f4d96d936a3c96b6c6d696a5445b7dbec0,1.0,1.0,ACTIVE,Regularly,43.0,d8746f5f78279f3a85da60d06e15f776e3d95c0a083d19abadb31d1971da6b33
1c3b99da29aa2460824266d8c1ae6cfe078a14f0eae2f6c0eb8dbf4a2ba35dde,,,ACTIVE,NONE,30.0,a0937f9f290afad8643aec13ab00b1b47eccdce6641f3a482ccf11e91c22baca
1d517e2038683e9fd93e5f74e3f0ac526407b0f73779a7246568f3959b537657,1.0,1.0,ACTIVE,Regularly,27.0,8789b7070585025e1d434ec14e76903c56d299db564b843516a4e0f37bd2bb37
1dc9e67179f9238c6f875c02cf0136c4da969eab38ffd4a106464ee32f20aa09,,,ACTIVE,NONE,26.0,9cd92f453a62c57688d04625f28fc79eaabb9a89640f58f442eec53c8a912a7a
1df07f916d7f648458702bd0b612caee88f1fb4cd1b660fc79ca0c99d27b1293,,,ACTIVE,NONE,23.0,207d6b8e53f6efaad75e7b3b5dd51770c2285e804a4453b92d665ab73d6e4722
1f09f1593c106b2b171e201a79e922f83ddacfdb690a0d8d382c2b7d03d0a5cb,1.0,1.0,ACTIVE,Regularly,27.0,db877358ce25bab258bce9f89ad718a908bb28eb7171e23ead0bed96c0c29750
1f4d4f43ace92c96fd788ee0a68bd6c6b94a04d7b19119984f573d4f11f90aea,,,ACTIVE,NONE,26.0,90f1785b3c7c4eaaa47eb19f3ccb24af29a3cc9e91b023a8dd1968eb00a8bc8f
1f8dec83774287b328af151054ffb2e06775ba0551c11b4cfa6d6b74923d9855,1.0,1.0,ACTIVE,Regularly,45.0,f2d7cdaf0b602672147960ddb9f77db8181a9664ebfa5d04c6b8fbff153c6740
21dc541f04d2e07c098fe65c6d5de0c585dd9c15a338ca9ab876ebb126acf377,1.0,1.0,ACTIVE,Regularly,47.0,43fb60d7c21f05fe5121e0c7aee435d84040acd5d042de019179f9f72f2ab9e2
2351f0fa33dff45f29de0bc0f97067400b6df574652a4dc10fca68512f7ccd66,1.0,1.0,ACTIVE,Regularly,46.0,fa9d632ba12702507dfececb8df43952e3e375afa8736787a6d6cc45cace3151
2399cf8a4ac08644be5df6bc31de4364bfbcf235f65d0f08539f277a92872310,,,ACTIVE,NONE,46.0,5d3f7210789634dc82e24f0944fbd19ec3c8ed1c46d25ef57d6d15796415d9fb
24ad95d7d7b1d8ab9ea2861458d650436ebc624b055a181f426c25228cfc7cea,,,ACTIVE,NONE,43.0,7052cf8584ec37e54021a7d9a91bca7a5367a36dee144341190cf5dae3eb024e
26fbbc7fb66c96e4d7984443dffa6779b9ac1e7f9c59c3207a24eacdd74e0891,1.0,1.0,ACTIVE,Regularly,42.0,2ceee685825afea987bbcdc5514882a27bb5e20b46155906e4099fc71695be17
2781a713842931862c0062efce6077ffd9b772f147f388cf6217b1c73593474d,1.0,1.0,ACTIVE,Regularly,50.0,9a9ad1445bd06c2ceb0ebe2cc2963bc662fceb364bc99da19bb9a6606621181c
29e5dbb956e0a27c64b7aad7a6895f4f6b721d003e8cc0aa72e35c2d679f051f,1.0,1.0,ACTIVE,Regularly,53.0,5a786f285882dd234306cafe20f20a7fb98941a5998d5777c19798349626cde8
2a27e4f65c307dd1ee19beecf16e634218584cb4f7312aae02dec985514e1788,1.0,1.0,ACTIVE,Regularly,23.0,db65fc96ad77376832d3495ec381a73300c6e29f8ac06503b7527934be037cd2
2c80c35aefd15088dd023c0c395b1568b4d3494a266a1bdb833308e8756a2e6c,,,ACTIVE,NONE,33.0,2522afd802272a73ad75e951143dfd47209f1b4fc5a3ced3cbdbce0cdae427a7
2dba3158e22a4a5f6af20087e41d54c1ec4cc755e894538e3352e8e20cae2f27,,,ACTIVE,NONE,45.0,6cf8d56fcdfb4e488004df2664852dc42014af0c1e381cbc355aad7dbcafc09a
2df54f0d0653811fe06479c93905f3e6ecc6d07edf39d8b56e5b66c86182bedf,1.0,1.0,ACTIVE,Regularly,22.0,85c1197c3616e4597988edde1b58bb01ab60d00680ab28cc16609b17c465377c
30d1e9b6378a74a740f64c3d34f1686693d0430b03c6cd602d58062e604373d0,,,ACTIVE,NONE,46.0,0c0552e4851095100d21ea87138b747f5a8ddad6e592abf283a6b9c5bf40ea13
30d422b17c18964fed0e363780873f7cefce12206e2f32787b22c86ad8dbc7d9,1.0,1.0,ACTIVE,Regularly,24.0,b4b0b409e20fe77526d2a3af6aa2683130db3e38487c91d42ec46e655630046f
320adb4322dbc8c6f77df332b680a7d323ae5cbf1eb1ee62b21139a3e551617e,1.0,1.0,ACTIVE,Regularly,25.0,a9944e86e25c7633d494bdb4d2e84cb89c092edf583f4a5f4c62e7205e8e74a1
326b5dc3f8ec5d55994ec948dcd3438b89a7ad14821e08d07faf26551201d417,,,ACTIVE,NONE,25.0,677e7c2cbded1abddb0e1333c409016cbe8293d5aa06877a140214327579c60e
3407a4913c66700644a6ab93df65fff6f22cffc39e569eac501ff87957f4f8ec,,,ACTIVE,NONE,26.0,ba45823f2da23ab41887ce0252688e7e735040f42224f01f78dc82e3af8ec3af
3493c55a7fe252c84a9a03db338f5be7afbce1edbca12f3a908fac9b983692f2,1.0,1.0,ACTIVE,Regularly,32.0,aed5bdd26b024bdfef32c3bc88a4ebdb0e0f85d354e003ed67db9082a03ed33d
3ad1936f7d8867a9c7c447400c0db5f294fdf262f719af2bd5801dacb5424a67,1.0,1.0,ACTIVE,Regularly,28.0,b93dbf4e5440c9553c91da5645a6d44255e8dfa6def417be1c21c354e12bf48c
3df61317e6b9e605d15c1e093a16faaa056a25c857a7f7d6e5b6194f8a466215,1.0,1.0,ACTIVE,Regularly,52.0,ef341498b7f0bbac84779b74d1358fa2c29f8d7d8110aa4d6e3e124d7a79d498
3e8272741c39b3579424da34b2c8b752d2cce5010774d52eb0eee7ce81f6103e,1.0,1.0,ACTIVE,Regularly,58.0,0072d3e83064b653def134906dd7f840f43199400bd5ba0e218b85a0857e296d
3e94c4e71dbe14cbabf5357e1f0924f9f2becb0588783af0f6666fbe7eec4e35,1.0,1.0,ACTIVE,Regularly,41.0,7b8c803bc4967999fc33bbabfb5823b21bf55d1d94b9f6c7ad915d8d220dc74d
3f9497a28e50b193fdf58fb97b2229d1eb23b75bff08a27e38b5bfa7e16ac37c,1.0,1.0,ACTIVE,Regularly,44.0,03bd2d03d21274521ab544db506f70e73ab05766d476b4c5bf77d6bc66bcc105
4043fdbe22eb397206dabf520d2d88651179724ac19ccf6e69efadfd3da530b6,,,ACTIVE,NONE,30.0,2d9e9bcad85872c8daf69692f0d0ee9598092523a47c7ad2b4fab7dab82cbbb7
