user,ground_truth,cold_start,popularity_hit5,popularity_hit10,popularity_ndcg10,rule_based_hit5,rule_based_hit10,rule_based_ndcg10,ncf_hit5,ncf_hit10,ncf_ndcg10
e595926576c9,0877961008,False,0,0,0.0,0,0,0.0,0,0,0.0
95f9365a9294,0882992001,True,0,0,0.0,0,0,0.0,1,1,1.0
e75142fdce4e,0903381001,False,0,0,0.0,0,0,0.0,0,0,0.0
d656aff527a1,0892643002,True,0,0,0.0,0,0,0.0,0,0,0.0
d0374e5dbfdc,0921226001,True,0,0,0.0,0,0,0.0,0,0,0.0
03fdb0bf2d9f,0554450043,False,1,1,0.6309,0,0,0.0,0,0,0.0
2a27e4f65c30,0921347003,False,0,0,0.0,0,0,0.0,0,0,0.0
921be2c5d438,0904357001,False,0,0,0.0,0,1,0.3333,0,0,0.0
f4cc6939c97e,0914441004,False,0,0,0.0,0,0,0.0,0,0,0.0
5a1cf6cc59d9,0610776083,False,0,0,0.0,0,0,0.0,0,0,0.0
1320d4b3dd64,0911981001,False,0,0,0.0,0,0,0.0,0,0,0.0
04c0e5bc7cbe,0919054001,True,0,0,0.0,0,0,0.0,0,0,0.0
5907af5ead8b,0806528004,False,0,1,0.3333,0,0,0.0,0,0,0.0
2351f0fa33df,0936862001,False,1,1,0.5,0,0,0.0,0,0,0.0
dff04c882813,0798579002,False,1,1,1.0,1,1,1.0,0,0,0.0
d693e4e0a283,0448509035,False,0,0,0.0,0,0,0.0,0,0,0.0
62eb7f6a2478,0923028002,False,0,0,0.0,0,0,0.0,0,0,0.0
83e13368a1ab,0918725001,False,0,0,0.0,0,0,0.0,0,1,0.3155
d9d809b2a22d,0809238001,False,0,0,0.0,0,1,0.2891,0,0,0.0
e6498c7514c6,0872006001,False,0,0,0.0,0,0,0.0,0,0,0.0
8bc7ae4dfbcc,0796370001,False,0,0,0.0,0,0,0.0,0,0,0.0
9f6c23280232,0902026001,False,0,0,0.0,0,0,0.0,0,0,0.0
1f4d4f43ace9,0487052028,False,0,0,0.0,0,0,0.0,0,0,0.0
a13f92a54d57,0797618002,False,0,0,0.0,0,0,0.0,0,0,0.0
2781a7138429,0765176004,False,0,0,0.0,0,0,0.0,0,0,0.0
d00063b94dcb,0910601002,False,1,1,0.6309,0,0,0.0,0,0,0.0
a38261c1584a,0788575004,False,0,0,0.0,0,0,0.0,0,0,0.0
e5ebe09835a6,0873279006,False,0,0,0.0,0,0,0.0,0,0,0.0
8e469168c1e6,0928210002,False,0,0,0.0,1,1,0.3869,0,1,0.3155
048962db9aca,0714790030,False,0,0,0.0,0,1,0.2891,0,0,0.0
e34f8aa5e7c8,0816521004,False,0,1,0.3562,0,0,0.0,0,0,0.0
82a2b9673934,0806131012,False,1,1,0.4307,0,0,0.0,0,0,0.0
6980555e2eaa,0926166001,False,0,0,0.0,0,0,0.0,0,0,0.0
aca6da799b53,0751994014,False,0,0,0.0,0,0,0.0,0,0,0.0
01dd96059a11,0859118001,True,0,0,0.0,0,0,0.0,0,0,0.0
7a859c4f0a3a,0903096002,True,0,0,0.0,0,1,0.301,0,0,0.0
eacd1ee3488f,0922489001,True,0,0,0.0,0,0,0.0,1,1,0.3869
ed08324da1d2,0913688003,False,1,1,0.3869,0,0,0.0,0,0,0.0
320adb4322db,0874891003,False,0,0,0.0,0,0,0.0,0,0,0.0
a5980b988e53,0860833018,False,0,0,0.0,0,0,0.0,0,0,0.0
7941e77cabb9,0867969008,False,0,0,0.0,0,0,0.0,0,0,0.0
9e78417360f6,0871710012,False,0,0,0.0,0,0,0.0,0,0,0.0
1df07f916d7f,0751471039,False,0,0,0.0,1,1,0.6309,0,0,0.0
a76cf5ea515d,0933989001,False,0,0,0.0,1,1,0.6309,0,0,0.0
