t_dat,customer_id,article_id,price,sales_channel_id
2018-09-20,03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,668766002,0.0423559322033898,2
2018-09-20,03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,652946001,0.0508305084745762,2
2018-09-20,03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,691275008,0.0677796610169491,2
2018-09-20,06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,657476001,0.0169322033898305,2
2018-09-20,06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,685687003,0.0169322033898305,2
2018-09-20,06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,685687003,0.0169322033898305,2
2018-09-20,06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,680912006,0.0169322033898305,2
2018-09-20,06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,652787001,0.0338813559322033,2
2018-09-20,06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,668767002,0.0169322033898305,2
2018-09-20,0a45168a9fdde35557e23ab2663ffbd0d565ac380ece7a3b09e7680c2a0f94be,685687004,0.0169322033898305,2
2018-09-20,0a45168a9fdde35557e23ab2663ffbd0d565ac380ece7a3b09e7680c2a0f94be,688873020,0.0338813559322033,2
2018-09-20,1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,501820043,0.0169322033898305,2
2018-09-20,1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,501820043,0.0169322033898305,2
2018-09-20,1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,501820045,0.0169322033898305,2
2018-09-20,1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,501820045,0.0169322033898305,2
2018-09-20,1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,501820042,0.0169322033898305,2
